Record_time,value,us-abbr
2020-Feb,103436668,us-ks
2020-Mar,101304353.1,us-ks
2020-Apr,82688931.9,us-ks
2020-May,90055239.57,us-ks
2020-Jun,99487685.77,us-ks
2020-Jul,101297821.6,us-ks
2020-Aug,106360721.7,us-ks
2020-Sep,202416923.7,us-ks
2020-Oct,82319025.88,us-ks
2020-Jan,190876751.8,us-ky
2020-Feb,192517838.1,us-ky
2020-Mar,168125422.5,us-ky
2020-Apr,139957429.1,us-ky
2020-May,146728823.9,us-ky
2020-Jun,174349202.1,us-ky
2020-Jul,178755128.7,us-ky
2020-Aug,170233979.8,us-ky
2020-Sep,180362032.7,us-ky
2020-Oct,170781932.3,us-ky
2020-Jan,179324276.5,us-la
2020-Feb,176279079.2,us-la
2020-Mar,171498145.8,us-la
2020-Apr,138687674.9,us-la
2020-May,118038106.1,us-la
2020-Jun,128201001.4,us-la
2020-Jul,176818782.9,us-la
2020-Aug,186215506.3,us-la
2020-Sep,188307048.8,us-la
2020-Oct,184901381.9,us-la
2020-Jan,57807893.96,us-me
2020-Feb,59722076.36,us-me
2020-Mar,53110481.85,us-me
2020-Apr,73714864.66,us-me
2020-May,-16901501.82,us-me
2020-Jun,76608109.97,us-me
2020-Jul,50281991.7,us-me
2020-Aug,56646614.16,us-me
2020-Sep,72173197.86,us-me
2020-Oct,42088635.4,us-me
2020-Jan,234732050.1,us-md
2020-Feb,222152676.9,us-md
2020-Mar,132127189.9,us-md
2020-Apr,158006361.8,us-md
2020-May,122689973.7,us-md
2020-Jun,257123568.6,us-md
2020-Jul,198729415.4,us-md
2020-Aug,187166084.5,us-md
2020-Sep,181798574.3,us-md
2020-Oct,180471702.8,us-md
2020-Jan,232689214.6,us-ma
2020-Feb,225719478.2,us-ma
2020-Mar,188631979.9,us-ma
2020-Apr,140635151.9,us-ma
2020-May,111136247.7,us-ma
2020-Jun,178980659.3,us-ma
2020-Jul,187925554.9,us-ma
2020-Aug,189361453.7,us-ma
2020-Sep,191030703.2,us-ma
2020-Oct,192573677.8,us-ma
2020-Jan,418696997.9,us-mi
2020-Feb,384833591.1,us-mi
2020-Mar,335414546.6,us-mi
2020-Apr,259321318.3,us-mi
2020-May,331117651.8,us-mi
2020-Jun,288788217.6,us-mi
2020-Jul,381401204.7,us-mi
2020-Aug,385127270.7,us-mi
2020-Sep,354287887.5,us-mi
2020-Oct,351060431.3,us-mi
2020-Jan,223516113.8,us-mn
2020-Feb,227257586.2,us-mn
2020-Mar,216758680.8,us-mn
2020-Apr,197560631.8,us-mn
2020-May,126925190.3,us-mn
2020-Jun,162795113.1,us-mn
2020-Jul,188879793,us-mn
2020-Aug,201759144.2,us-mn
2020-Sep,213506682.9,us-mn
2020-Oct,192914113.2,us-mn
2020-Jan,154863776.3,us-ms
2020-Feb,145229980.2,us-ms
2020-Mar,131015315.2,us-ms
2020-Apr,137875678.2,us-ms
2020-May,69331454.2,us-ms
2020-Jun,144758266.7,us-ms
2020-Jul,153475379.2,us-ms
2020-Aug,146730946.2,us-ms
2020-Sep,137576324.6,us-ms
2020-Oct,143614777.8,us-ms
2020-Jan,271163661.5,us-mo
2020-Feb,313622062.6,us-mo
2020-Mar,238506507.6,us-mo
2020-Apr,200908595,us-mo
2020-May,217154934.9,us-mo
2020-Jun,247082451.6,us-mo
2020-Jul,257025627.1,us-mo
2020-Aug,245754023.5,us-mo
2020-Sep,249899526.6,us-mo
2020-Oct,248682271.7,us-mo
2020-Jan,46269815.6,us-mt
2020-Feb,46569170.98,us-mt
2020-Mar,42011101.09,us-mt
2020-Apr,36937114.54,us-mt
2020-May,40555548.38,us-mt
2020-Jun,41992561.96,us-mt
2020-Jul,44383665.07,us-mt
2020-Aug,45714603.89,us-mt
2020-Sep,46778495.3,us-mt
2020-Oct,44733273.41,us-mt
2020-Jan,78379700,us-ne
2020-Feb,80725079.51,us-ne
2020-Mar,69903285.89,us-ne
2020-Apr,61231351.54,us-ne
2020-May,60102201.65,us-ne
2020-Jun,72346658.54,us-ne
2020-Jul,74401139.07,us-ne
2020-Aug,73410280.47,us-ne
2020-Sep,75465580.8,us-ne
2020-Oct,73599462.64,us-ne
2020-Jan,103693374.2,us-nv
2020-Feb,105529583,us-nv
2020-Mar,84378939.67,us-nv
2020-Apr,66557624.12,us-nv
2020-May,76365414.71,us-nv
2020-Jun,90120778.77,us-nv
2020-Jul,93062697.84,us-nv
2020-Aug,92014404.86,us-nv
2020-Sep,95758203.12,us-nv
2020-Oct,97351033.71,us-nv
2020-Jan,60488842.51,us-nh
2020-Feb,61495634.52,us-nh
2020-Mar,52792647.87,us-nh
2020-Apr,42425931.31,us-nh
2020-May,44925373.47,us-nh
2020-Jun,51299921.63,us-nh
2020-Jul,54112622.57,us-nh
2020-Aug,54158027.21,us-nh
2020-Sep,56237207.44,us-nh
2020-Oct,54672370.93,us-nh
2020-Jan,323335663.5,us-nj
2020-Feb,328276597.5,us-nj
2020-Mar,248391297.5,us-nj
2020-Apr,186839263.6,us-nj
2020-May,190000060.7,us-nj
2020-Jun,252451894.6,us-nj
2020-Jul,275647968.5,us-nj
2020-Aug,283664587.8,us-nj
2020-Sep,289279010.1,us-nj
2020-Oct,264334743.6,us-nj
2020-Jan,93116317.2,us-nm
2020-Feb,83395747.36,us-nm
2020-Mar,74509228.08,us-nm
2020-Apr,58935893.96,us-nm
2020-May,55274930.99,us-nm
2020-Jun,94593425.46,us-nm
2020-Jul,77930328.31,us-nm
2020-Aug,74582469.64,us-nm
2020-Sep,88135139.4,us-nm
2020-Oct,80108798.83,us-nm
2020-Jan,455044033.7,us-ny
2020-Feb,442300594.4,us-ny
2020-Mar,414999822.8,us-ny
2020-Apr,289427627.5,us-ny
2020-May,334282231.6,us-ny
2020-Jun,389448400.9,us-ny
2020-Jul,391080019.3,us-ny
2020-Aug,459458825.7,us-ny
2020-Sep,441258673.2,us-ny
2020-Oct,456360285.2,us-ny
2020-Jan,433712324.2,us-nc
2020-Feb,415010776.1,us-nc
2020-Mar,335911239.7,us-nc
2020-Apr,249535945.1,us-nc
2020-May,263331214.5,us-nc
2020-Jun,528209773.2,us-nc
2020-Jul,371571724.7,us-nc
2020-Aug,392773712.7,us-nc
2020-Sep,390944746.3,us-nc
2020-Oct,371122325.1,us-nc
2020-Jan,36934941.97,us-nd
2020-Feb,39219854.39,us-nd
2020-Mar,35562373.71,us-nd
2020-Apr,28381497.73,us-nd
2020-May,30345545.46,us-nd
2020-Jun,32568463.85,us-nd
2020-Jul,33932359.06,us-nd
2020-Aug,35890888.73,us-nd
2020-Sep,35337208.02,us-nd
2020-Oct,32996554.13,us-nd
2020-Jan,429002397,us-oh
2020-Feb,430186417.9,us-oh
2020-Mar,368578874.2,us-oh
2020-Apr,296821912.6,us-oh
2020-May,309610241.4,us-oh
2020-Jun,374520217.3,us-oh
2020-Jul,391214796.3,us-oh
2020-Aug,374769188.6,us-oh
2020-Sep,395145279,us-oh
2020-Oct,385793621.7,us-oh
2020-Jan,191450311.4,us-ok
2020-Feb,137580295.1,us-ok
2020-Mar,174174764.7,us-ok
2020-Apr,101841851.4,us-ok
2020-May,126893319.5,us-ok
2020-Jun,160027104.6,us-ok
2020-Jul,151875485,us-ok
2020-Aug,207802575.7,us-ok
2020-Sep,98258673.84,us-ok
2020-Oct,171991915.2,us-ok
2020-Jan,126238869.7,us-or
2020-Feb,119140036,us-or
2020-Mar,140514339.3,us-or
2020-Apr,94299449.91,us-or
