Record_time,value,us-abbr
2020-Feb,0,us-hi
2020-Mar,283,us-hi
2020-Apr,324,us-hi
2020-May,37,us-hi
2020-Jun,264,us-hi
2020-Jul,1264,us-hi
2020-Aug,6450,us-hi
2020-Sep,3858,us-hi
2020-Oct,2515,us-hi
2020-Nov,2713,us-hi
2020-Dec,3318,us-hi
2021-Jan,4103,us-hi
2021-Feb,1592,us-hi
2021-Mar,904,us-hi
2020-Jan,0,us-ia
2020-Feb,0,us-ia
2020-Mar,497,us-ia
2020-Apr,6648,us-ia
2020-May,12407,us-ia
2020-Jun,9395,us-ia
2020-Jul,15635,us-ia
2020-Aug,20241,us-ia
2020-Sep,24007,us-ia
2020-Oct,39136,us-ia
2020-Nov,101482,us-ia
2020-Dec,51221,us-ia
2021-Jan,38578,us-ia
2021-Feb,17082,us-ia
2021-Mar,8172,us-ia
2020-Jan,0,us-id
2020-Feb,0,us-id
2020-Mar,525,us-id
2020-Apr,1490,us-id
2020-May,824,us-id
2020-Jun,3278,us-id
2020-Jul,14604,us-id
2020-Aug,11367,us-id
2020-Sep,9960,us-id
2020-Oct,22560,us-id
2020-Nov,37090,us-id
2020-Dec,39379,us-id
2021-Jan,21606,us-id
2021-Feb,8457,us-id
2021-Mar,5662,us-id
2020-Jan,2,us-il
2020-Feb,0,us-il
2020-Mar,5992,us-il
2020-Apr,46924,us-il
2020-May,67342,us-il
2020-Jun,23978,us-il
2020-Jul,35880,us-il
2020-Aug,56607,us-il
2020-Sep,59038,us-il
2020-Oct,120796,us-il
2020-Nov,309745,us-il
2020-Dec,237085,us-il
2021-Jan,162912,us-il
2021-Feb,60395,us-il
2021-Mar,29394,us-il
2020-Jan,0,us-in
2020-Feb,0,us-in
2020-Mar,2159,us-in
2020-Apr,15676,us-in
2020-May,16739,us-in
2020-Jun,11020,us-in
2020-Jul,20560,us-in
2020-Aug,28042,us-in
2020-Sep,25823,us-in
2020-Oct,59339,us-in
2020-Nov,159619,us-in
2020-Dec,172508,us-in
2021-Jan,115197,us-in
2021-Feb,34991,us-in
2021-Mar,13715,us-in
2020-Jan,0,us-ks
2020-Feb,0,us-ks
2020-Mar,428,us-ks
2020-Apr,3810,us-ks
2020-May,5481,us-ks
2020-Jun,4724,us-ks
2020-Jul,13369,us-ks
2020-Aug,14800,us-ks
2020-Sep,17137,us-ks
2020-Oct,25432,us-ks
2020-Nov,72265,us-ks
2020-Dec,64987,us-ks
2021-Jan,52252,us-ks
2021-Feb,18978,us-ks
2021-Mar,5241,us-ks
2020-Jan,0,us-ky
2020-Feb,0,us-ky
2020-Mar,591,us-ky
2020-Apr,4117,us-ky
2020-May,4996,us-ky
2020-Jun,5920,us-ky
2020-Jul,14527,us-ky
2020-Aug,18245,us-ky
2020-Sep,20444,us-ky
2020-Oct,38379,us-ky
2020-Nov,71822,us-ky
2020-Dec,86221,us-ky
2021-Jan,97628,us-ky
2021-Feb,41732,us-ky
2021-Mar,14527,us-ky
2020-Jan,0,us-la
2020-Feb,0,us-la
2020-Mar,5237,us-la
2020-Apr,22807,us-la
2020-May,11872,us-la
2020-Jun,18179,us-la
2020-Jul,58185,us-la
2020-Aug,32614,us-la
2020-Sep,18564,us-la
2020-Oct,19191,us-la
2020-Nov,45765,us-la
2020-Dec,82861,us-la
2021-Jan,85351,us-la
2021-Feb,29474,us-la
2021-Mar,9443,us-la
2020-Jan,0,us-ma
2020-Feb,1,us-ma
2020-Mar,6619,us-ma
2020-Apr,55585,us-ma
2020-May,34760,us-ma
2020-Jun,11917,us-ma
2020-Jul,8730,us-ma
2020-Aug,10590,us-ma
2020-Sep,11447,us-ma
2020-Oct,24768,us-ma
2020-Nov,63808,us-ma
2020-Dec,141116,us-ma
2021-Jan,138700,us-ma
2021-Feb,52157,us-ma
2021-Mar,23833,us-ma
2020-Jan,0,us-md
2020-Feb,0,us-md
2020-Mar,1660,us-md
2020-Apr,21812,us-md
2020-May,29855,us-md
2020-Jun,14591,us-md
2020-Jul,21447,us-md
2020-Aug,19498,us-md
2020-Sep,16647,us-md
2020-Oct,20635,us-md
2020-Nov,54990,us-md
2020-Dec,79084,us-md
2021-Jan,75417,us-md
2021-Feb,27066,us-md
2021-Mar,15196,us-md
2020-Jan,0,us-me
2020-Feb,0,us-me
2020-Mar,303,us-me
2020-Apr,820,us-me
2020-May,1226,us-me
2020-Jun,945,us-me
2020-Jul,643,us-me
2020-Aug,611,us-me
2020-Sep,883,us-me
2020-Oct,1237,us-me
2020-Nov,5308,us-me
2020-Dec,12225,us-me
2021-Jan,15341,us-me
2021-Feb,5221,us-me
2021-Mar,3309,us-me
2020-Jan,0,us-mi
2020-Feb,0,us-mi
2020-Mar,7615,us-mi
2020-Apr,33764,us-mi
2020-May,16018,us-mi
2020-Jun,13331,us-mi
2020-Jul,19846,us-mi
2020-Aug,22451,us-mi
2020-Sep,24989,us-mi
2020-Oct,59392,us-mi
2020-Nov,191536,us-mi
2020-Dec,139679,us-mi
2021-Jan,81517,us-mi
2021-Feb,35412,us-mi
2021-Mar,37848,us-mi
2020-Jan,0,us-mn
2020-Feb,0,us-mn
2020-Mar,689,us-mn
2020-Apr,4447,us-mn
2020-May,20072,us-mn
2020-Jun,11508,us-mn
2020-Jul,18472,us-mn
2020-Aug,20676,us-mn
2020-Sep,23270,us-mn
2020-Oct,49338,us-mn
2020-Nov,170291,us-mn
2020-Dec,96539,us-mn
2021-Jan,46505,us-mn
2021-Feb,22787,us-mn
2021-Mar,16864,us-mn
2020-Jan,0,us-mo
2020-Feb,0,us-mo
2020-Mar,1327,us-mo
2020-Apr,6235,us-mo
2020-May,5585,us-mo
2020-Jun,8404,us-mo
2020-Jul,28772,us-mo
2020-Aug,34374,us-mo
2020-Sep,41416,us-mo
2020-Oct,59422,us-mo
2020-Nov,114227,us-mo
2020-Dec,92808,us-mo
2021-Jan,66249,us-mo
2021-Feb,19597,us-mo
2021-Mar,91079,us-mo
2020-Jan,0,us-mp
2020-Feb,0,us-mp
2020-Mar,2,us-mp
2020-Apr,12,us-mp
2020-May,8,us-mp
2020-Jun,8,us-mp
2020-Jul,12,us-mp
2020-Aug,14,us-mp
2020-Sep,14,us-mp
2020-Oct,26,us-mp
2020-Nov,10,us-mp
2020-Dec,16,us-mp
2021-Jan,10,us-mp
2021-Feb,11,us-mp
2021-Mar,14,us-mp
2020-Jan,0,us-ms
2020-Feb,0,us-ms
2020-Mar,1073,us-ms
2020-Apr,6139,us-ms
2020-May,8540,us-ms
2020-Jun,12148,us-ms
2020-Jul,31981,us-ms
2020-Aug,23703,us-ms
2020-Sep,15302,us-ms
2020-Oct,21614,us-ms
2020-Nov,33911,us-ms
2020-Dec,63975,us-ms
2021-Jan,57320,us-ms
2021-Feb,19288,us-ms
2021-Mar,7322,us-ms
2020-Jan,0,us-mt
2020-Feb,0,us-mt
2020-Mar,203,us-mt
2020-Apr,250,us-mt
2020-May,62,us-mt
2020-Jun,503,us-mt
2020-Jul,2947,us-mt
2020-Aug,3528,us-mt
2020-Sep,5900,us-mt
2020-Oct,19408,us-mt
2020-Nov,29397,us-mt
2020-Dec,19357,us-mt
2021-Jan,12394,us-mt
2021-Feb,6005,us-mt
2021-Mar,2662,us-mt
2020-Jan,0,us-nc
2020-Feb,0,us-nc
2020-Mar,1498,us-nc
2020-Apr,9011,us-nc
2020-May,18081,us-nc
2020-Jun,36147,us-nc
2020-Jul,58344,us-nc
2020-Aug,47003,us-nc
2020-Sep,40548,us-nc
2020-Oct,64003,us-nc
2020-Nov,89877,us-nc
2020-Dec,175033,us-nc
2021-Jan,217981,us-nc
2021-Feb,101022,us-nc
2021-Mar,32766,us-nc
2020-Jan,0,us-nd
2020-Feb,0,us-nd
2020-Mar,126,us-nd
2020-Apr,941,us-nd
2020-May,1510,us-nd
2020-Jun,999,us-nd
2020-Jul,3026,us-nd
2020-Aug,5398,us-nd
2020-Sep,10218,us-nd
2020-Oct,22825,us-nd
2020-Nov,34612,us-nd
2020-Dec,13115,us-nd
2021-Jan,4913,us-nd
2021-Feb,2169,us-nd
2021-Mar,1662,us-nd
2020-Jan,0,us-ne
2020-Feb,0,us-ne
2020-Mar,177,us-ne
2020-Apr,4104,us-ne
2020-May,9820,us-ne
2020-Jun,5076,us-ne
2020-Jul,7034,us-ne
2020-Aug,8076,us-ne
2020-Sep,11277,us-ne
2020-Oct,25168,us-ne
2020-Nov,57675,us-ne
2020-Dec,38391,us-ne
2021-Jan,23915,us-ne
2021-Feb,10169,us-ne
2021-Mar,4932,us-ne
2020-Jan,0,us-nh
2020-Feb,0,us-nh
2020-Mar,367,us-nh
2020-Apr,1779,us-nh
2020-May,2505,us-nh
2020-Jun,1131,us-nh
2020-Jul,801,us-nh
2020-Aug,692,us-nh
2020-Sep,991,us-nh
2020-Oct,2818,us-nh
2020-Nov,9910,us-nh
2020-Dec,23034,us-nh
2021-Jan,21667,us-nh
2021-Feb,9729,us-nh
2021-Mar,4278,us-nh
2020-Jan,0,us-nj
2020-Feb,0,us-nj
2020-Mar,18696,us-nj
2020-Apr,99957,us-nj
2020-May,42154,us-nj
2020-Jun,11871,us-nj
2020-Jul,11286,us-nj
2020-Aug,11506,us-nj
2020-Sep,15118,us-nj
2020-Oct,39343,us-nj
2020-Nov,117852,us-nj
2020-Dec,160001,us-nj
2021-Jan,169045,us-nj
2021-Feb,92527,us-nj
2021-Mar,63993,us-nj
2020-Jan,0,us-nm
2020-Feb,0,us-nm
2020-Mar,315,us-nm
2020-Apr,3096,us-nm
2020-May,4278,us-nm
2020-Jun,4458,us-nm
2020-Jul,8453,us-nm
2020-Aug,4752,us-nm
2020-Sep,4083,us-nm
2020-Oct,17055,us-nm
2020-Nov,50605,us-nm
2020-Dec,45769,us-nm
2021-Jan,31200,us-nm
2021-Feb,11068,us-nm
2021-Mar,4026,us-nm
2020-Jan,0,us-nv
2020-Feb,0,us-nv
2020-Mar,1113,us-nv
2020-Apr,3894,us-nv
2020-May,3603,us-nv
2020-Jun,10074,us-nv
2020-Jul,29628,us-nv
2020-Aug,21172,us-nv
2020-Sep,10601,us-nv
2020-Oct,20678,us-nv
2020-Nov,51406,us-nv
2020-Dec,72562,us-nv
2021-Jan,53577,us-nv
2021-Feb,15446,us-nv
2021-Mar,6661,us-nv
2020-Jan,0,us-ny
2020-Feb,0,us-ny
2020-Mar,32656,us-ny
2020-Apr,104238,us-ny
2020-May,30573,us-ny
2020-Jun,10808,us-ny
2020-Jul,11591,us-ny
2020-Aug,10653,us-ny
2020-Sep,14089,us-ny
2020-Oct,29663,us-ny
2020-Nov,91730,us-ny
2020-Dec,212153,us-ny
2021-Jan,263125,us-ny
2021-Feb,107667,us-ny
2021-Mar,58509,us-ny
2020-Jan,0,us-oh
2020-Feb,0,us-oh
2020-Mar,2199,us-oh
2020-Apr,15828,us-oh
2020-May,17486,us-oh
2020-Jun,16276,us-oh
2020-Jul,39370,us-oh
2020-Aug,31998,us-oh
2020-Sep,30830,us-oh
2020-Oct,61710,us-oh
2020-Nov,205366,us-oh
2020-Dec,279317,us-oh
2021-Jan,195412,us-oh
2021-Feb,71630,us-oh
2021-Mar,28363,us-oh
2020-Jan,0,us-ok
2020-Feb,0,us-ok
2020-Mar,565,us-ok
2020-Apr,3053,us-ok
2020-May,2662,us-ok
2020-Jun,6937,us-ok
2020-Jul,25888,us-ok
2020-Aug,25003,us-ok
2020-Sep,29334,us-ok
2020-Oct,35749,us-ok
2020-Nov,76808,us-ok
2020-Dec,96149,us-ok
2021-Jan,92546,us-ok
2021-Feb,31990,us-ok
2021-Mar,7391,us-ok
2020-Jan,0,us-or
2020-Feb,1,us-or
2020-Mar,689,us-or
2020-Apr,1820,us-or
2020-May,1733,us-or
2020-Jun,4413,us-or
2020-Jul,9837,us-or
2020-Aug,8220,us-or
2020-Sep,6796,us-or
2020-Oct,11412,us-or
2020-Nov,30510,us-or
2020-Dec,38478,us-or
2021-Jan,28507,us-or
2021-Feb,13181,us-or
2021-Mar,5025,us-or
2020-Jan,0,us-pa
2020-Feb,0,us-pa
2020-Mar,4843,us-pa
2020-Apr,40920,us-pa
2020-May,26519,us-pa
2020-Jun,14960,us-pa
2020-Jul,25694,us-pa
2020-Aug,21089,us-pa
2020-Sep,24942,us-pa
2020-Oct,49060,us-pa
2020-Nov,153451,us-pa
2020-Dec,278847,us-pa
2021-Jan,202899,us-pa
2021-Feb,88418,us-pa
2021-Mar,45205,us-pa
2020-Jan,0,us-pr
2020-Feb,0,us-pr
2020-Mar,239,us-pr
2020-Apr,1300,us-pr
2020-May,2237,us-pr
2020-Jun,3761,us-pr
2020-Jul,10335,us-pr
2020-Aug,15549,us-pr
2020-Sep,15646,us-pr
2020-Oct,17594,us-pr
2020-Nov,-13341,us-pr
2020-Dec,23734,us-pr
2021-Jan,17184,us-pr
2021-Feb,6346,us-pr
2021-Mar,3095,us-pr
2020-Jan,0,us-ri
2020-Feb,0,us-ri
2020-Mar,520,us-ri
2020-Apr,8101,us-ri
2020-May,6307,us-ri
2020-Jun,1885,us-ri
2020-Jul,2209,us-ri
2020-Aug,2927,us-ri
2020-Sep,2799,us-ri
2020-Oct,8126,us-ri
2020-Nov,23849,us-ri
2020-Dec,31226,us-ri
2021-Jan,26489,us-ri
2021-Feb,11184,us-ri
2021-Mar,6994,us-ri
2020-Jan,0,us-sc
2020-Feb,0,us-sc
2020-Mar,1131,us-sc
2020-Apr,5065,us-sc
2020-May,6189,us-sc
2020-Jun,25175,us-sc
2020-Jul,53680,us-sc
2020-Aug,32327,us-sc
2020-Sep,25410,us-sc
2020-Oct,28923,us-sc
2020-Nov,43273,us-sc
2020-Dec,101311,us-sc
2021-Jan,140483,us-sc
2021-Feb,57633,us-sc
2021-Mar,16713,us-sc
2020-Jan,0,us-sd
2020-Feb,0,us-sd
2020-Mar,108,us-sd
2020-Apr,2341,us-sd
2020-May,2544,us-sd
2020-Jun,1771,us-sd
2020-Jul,2000,us-sd
2020-Aug,4745,us-sd
2020-Sep,8880,us-sd
2020-Oct,23603,us-sd
2020-Nov,34472,us-sd
2020-Dec,18700,us-sd
2021-Jan,9086,us-sd
2021-Feb,4177,us-sd
2021-Mar,2776,us-sd
2020-Jan,0,us-tn
2020-Feb,0,us-tn
2020-Mar,2239,us-tn
2020-Apr,8496,us-tn
2020-May,12424,us-tn
2020-Jun,20350,us-tn
2020-Jul,62450,us-tn
2020-Aug,48974,us-tn
2020-Sep,41206,us-tn
2020-Oct,64533,us-tn
2020-Nov,113821,us-tn
2020-Dec,212309,us-tn
2021-Jan,141059,us-tn
2021-Feb,47143,us-tn
2021-Mar,21620,us-tn
2020-Jan,0,us-tx
2020-Feb,0,us-tx
2020-Mar,3266,us-tx
2020-Apr,24821,us-tx
2020-May,36200,us-tx
2020-Jun,95699,us-tx
2020-Jul,260960,us-tx
2020-Aug,192023,us-tx
2020-Sep,135998,us-tx
2020-Oct,151629,us-tx
2020-Nov,377836,us-tx
2020-Dec,477740,us-tx
2021-Jan,604460,us-tx
2021-Feb,283392,us-tx
2021-Mar,91787,us-tx
2020-Jan,0,us-ut
2020-Feb,0,us-ut
2020-Mar,934,us-ut
2020-Apr,3819,us-ut
2020-May,5191,us-ut
2020-Jun,12802,us-ut
2020-Jul,18051,us-ut
2020-Aug,11995,us-ut
2020-Sep,20250,us-ut
2020-Oct,41614,us-ut
2020-Nov,81050,us-ut
2020-Dec,80906,us-ut
2021-Jan,70012,us-ut
2021-Feb,24611,us-ut
2021-Mar,9105,us-ut
2020-Jan,0,us-va
2020-Feb,0,us-va
2020-Mar,1484,us-va
2020-Apr,15417,us-va
